"HEAD","WDEPTH","MANHOLE_FLOW","Points:0","Points:1","Points:2"
90.79770521018,0.08380909717776,0,565110.01,5778338.5287,90.713896113
90.79770519409,0.1092713900898,0,565117.858,5778341.759,90.688433804
91.06267116343,0.0007052844319873,0,565119.044,5778307.559,91.061965879
91.20768287348,0.0002598084845005,0,565134.7,5778308.586,91.207423065
91.66420498951,0.0001051915086805,0,565157.8229,5778345.7905,91.664099798
91.58449602682,0.0001178268225317,0,565170.7201,5778340.6702,91.5843782
90.94507128426,0.001952624255054,0,565130.108,5778278.6434,90.94311866
90.59680893372,0.0001346587226294,0,565125.166,5778250.388,90.596674275
91.78731230887,0.0001012788711847,0,565209.6228,5778221.8203,91.78721103
92.13400993248,0.0001220764810483,0,565272.454,5778196.465,92.133887856
92.00139311886,0.008785185859395,0,565281.91,5778204.202,91.992607933
